,no_edges,pct_edges_cause_isolation,avg_pct_trips_isolated,max_pct_trips_isolated,pct_edges_cause_delay,avg_pct_trips_delayed,max_pct_trips_delayed,IncomeLevel,GDP_CAP,AreaKM,Continent,SIDS,mean_slope,max_slope,landlocked,population,builtarea,Density,Clique_No,Edge_Connectivity,Ave_Path_Length,Assortativity,Diameter,Max_Degree,Transivitity,Articulation_Points,Total_Edge_Length,logGDP_CAP,logAREA,logPOP,POP_AREA,logEdges
ABW,956.0,0.21,2.0,2.0,56.07,4.29,32.12,High income,29008.0,181.8430308646269,Central-America,1.0,1.3333333333333333,4.0,0.0,112179.34375,26.36586786407271,0.0060644121770351,3.0,1.0,15.640747013784486,-0.0150523684294388,40.0,10.0,0.1323273360417876,10.0,303637.3871845743,10.275326932994632,5.2031438471607,11.62785415307196,616.9020787687593,6.862757913051401
ATG,287.0,4.53,4.31,12.3,70.38,6.0,26.73,High income,17790.0,435.63753293644277,Central-America,1.0,1.3969171483622351,10.0,0.0,88189.359375,1.2925740239501313,0.0168625146886016,3.0,1.0,10.107285546415982,-0.054805941705945,27.0,6.0,0.0830039525691699,24.0,229873.18680434875,9.786391780659882,6.076810551112859,11.387241592710248,202.43746855454341,5.659482215759621
BHS,730.0,0.55,3.46,5.88,64.11,3.94,18.55,High income,32933.0,13397.840998394413,Central-America,1.0,0.025515025515025515,2.0,0.0,366988.3125,0.9295104220695021,0.0081021087680355,3.0,1.0,13.745882352941177,0.0500997371346324,40.0,10.0,0.1742993848257006,15.0,333736.2365101186,10.402230473559138,9.502848853435053,12.813085280480564,27.39160082165325,6.593044534142437
BLZ,939.0,7.67,11.76,49.78,27.58,9.14,49.78,Upper middle income,4815.0,21989.934536428784,Central-America,1.0,1.890796857463524,22.0,0.0,390344.15625,0.1691154656183634,0.0048934285267601,3.0,1.0,29.12305487518891,0.0889915837446465,72.0,8.0,0.160621761658031,127.0,2053679.0006981764,8.479491324232226,9.998340106574334,12.874784080897118,17.751037666954,6.844815479208263
BRB,1029.0,0.29,2.0,2.0,67.93,3.09,25.92,High income,18148.0,435.1182895156155,Central-America,1.0,3.013539651837524,10.0,0.0,272852.65625,17.36416015625,0.0050958252859901,3.0,1.0,16.90522458277621,-0.0620419379313787,42.0,12.0,0.1543766578249336,7.0,603689.8520893592,9.806315640783854,6.075617924043399,12.516687207769483,627.0769646427558,6.9363427358340495
CYM,377.0,0.27,4.35,4.35,52.79,10.37,47.63,High income,85477.0,280.2124919332643,Central-America,1.0,0.06382978723404255,2.0,0.0,63564.453125,5.500405074139031,0.0148279252704031,3.0,1.0,14.086961651917404,0.006428872492484,46.0,8.0,0.2313937753721245,9.0,164933.75222328247,11.356002612888336,5.635548215112092,11.059809679949117,226.8437523482664,5.932245187448011
DMA,133.0,8.27,26.26,51.85,60.9,14.35,51.85,Upper middle income,8300.0,754.1964311469147,Central-America,1.0,9.524972253052164,23.0,0.0,67797.3125,0.7606239740694115,0.0363885088919288,3.0,1.0,11.574008207934336,-0.072125583368689,35.0,8.0,0.1666666666666666,23.0,318149.451807182,9.02401079378469,6.6256528528413225,11.124277834499788,89.89344115153116,4.890349128221754
DOM,8230.0,0.4,7.14,35.78,28.13,5.62,37.17,Upper middle income,8282.0,48093.57349098366,Central-America,1.0,5.2406742334406236,37.0,0.0,11349501.0,1.6878732678567132,0.0006065096988122,3.0,1.0,45.98310896282052,0.1189876390087585,106.0,8.0,0.1239376371925479,202.0,9121232.990723062,9.021839764105513,10.78090383991155,16.2446843361675,235.98789144099985,9.015541293671115
GRD,163.0,2.45,4.65,4.65,68.1,11.21,28.35,Upper middle income,10966.0,359.43350665444814,Central-America,1.0,6.287841191066997,15.0,0.0,94712.640625,4.378736572265625,0.0329292929292929,3.0,1.0,8.881818181818181,-0.1524630748573344,24.0,8.0,0.055813953488372,7.0,214375.5319455964,9.302554855963994,5.884529199426371,11.458602750995027,263.50531842890973,5.093750200806762
JAM,2416.0,0.5,2.16,3.96,47.02,3.79,30.08,Upper middle income,5582.0,11008.257281782719,Central-America,1.0,5.737857518204339,30.0,0.0,2693199.25,2.715980492694462,0.0021066307423344,4.0,1.0,26.28594024527948,-0.0629221927902971,71.0,10.0,0.1477037649979313,54.0,3850800.2980647385,8.627302414096267,9.306400932154968,14.806240357174092,244.65264401631546,7.789868559054706
KNA,261.0,2.3,7.91,22.44,62.84,8.61,31.92,High income,19896.0,266.91444315422945,Central-America,1.0,8.914826498422713,23.0,0.0,53970.5,1.5911581380919078,0.020778600429902,3.0,1.0,9.914974922378793,-0.174559266751992,24.0,10.0,0.1246753246753246,13.0,132509.12839775125,9.898273985483241,5.586928169424535,10.896192879975926,202.2014970872692,5.564520407322694
LCA,192.0,5.21,5.83,15.91,58.33,17.4,48.38,Upper middle income,11611.0,614.6724583394007,Central-America,1.0,5.2,25.0,0.0,167531.875,2.420747907634875,0.025177025963808,3.0,1.0,9.370312090217675,-0.0111305307699382,24.0,8.0,0.1525423728813559,13.0,268946.04078721127,9.359708203627006,6.421089537865102,12.028928910650256,272.55471223259974,5.2574953720277815
PRI,12207.0,0.11,2.0,2.0,38.22,1.72,19.98,High income,32874.0,8979.731992625258,Central-America,1.0,4.408365794843257,26.0,0.0,3647848.5,12.746384431215219,0.0003883800210215,3.0,1.0,48.88531370555456,0.0854451014099006,135.0,8.0,0.1541782889457796,470.0,9416944.262057638,10.40043735076647,9.102725315931641,15.109648099708718,406.2313332954537,9.4097648366698
TCA,140.0,1.43,11.67,15.33,62.14,13.8,45.0,High income,27142.0,992.7689430491714,Central-America,1.0,0.02336028751123091,1.0,0.0,38855.828125,1.301052658646195,0.0341880341880341,3.0,1.0,9.71941391941392,-0.0723814441862478,25.0,6.0,0.1398305084745762,7.0,61113.505541883744,10.208837622641315,6.900497951218557,10.567613360632022,39.13884333010958,4.941642422609304
TTO,3055.0,0.69,2.56,5.88,43.73,4.77,42.85,High income,17276.0,5159.7250434866455,Central-America,1.0,2.329766216661179,22.0,0.0,1349734.5,5.096599842767295,0.0016635030160861,3.0,1.0,28.141155445780694,-0.0118999608591986,72.0,8.0,0.139129067756642,49.0,2182413.1745307487,9.757073534080591,8.548638570909853,14.11541846440652,261.5903926322258,8.024534871605695
VCT,50.0,6.0,24.02,48.53,56.0,21.14,51.47,Upper middle income,7464.0,398.00176001924115,Central-America,1.0,9.04,33.0,0.0,101068.3203125,3.391702197846912,0.0946969696969697,3.0,1.0,5.520833333333333,-0.102810387762361,13.0,6.0,0.1111111111111111,6.0,130230.85346601612,8.91784674252718,5.986456427433557,11.523552005879457,253.93938033744854,3.912023005428146
VGB,52.0,1.92,9.09,9.09,78.85,14.07,45.02,High income,34200.0,169.32979324369188,Central-America,1.0,4.080882352941177,13.0,0.0,29540.7109375,5.962722133582746,0.0873949579831932,3.0,1.0,4.436974789915967,-0.031746031746038,10.0,4.0,0.145631067961165,2.0,77943.11571100132,10.439980923050696,5.131848252650649,10.293524622738895,174.45666454565574,3.9512437185814275
HTI,1377.0,4.28,2.55,22.85,37.91,11.87,45.03,Low income,755.0,27128.563540165178,Central-America,1.0,7.558311073336571,42.0,0.0,13361839.0,1.2324725297796784,0.0030547390605069,3.0,1.0,28.305961954411845,0.0628753249842821,72.0,8.0,0.1418918918918918,153.0,4248069.02464859,6.626717749249025,10.208342456966486,16.407913366300523,492.5376524347534,7.227662498728654
VIR,199.0,2.01,2.9,2.9,77.39,6.98,37.21,High income,35938.0,362.19735103008605,Central-America,1.0,3.5384615384615383,13.0,0.0,99624.421875,14.15215395296927,0.0233705226071638,3.0,1.0,8.725543159130945,0.1186212208742522,24.0,4.0,0.0981308411214953,8.0,278101.8543622489,10.4895505104864,5.89218923186676,11.509162613064387,275.0556335977307,5.293304824724492
CUW,884.0,1.7,5.46,27.15,63.91,4.42,33.19,High income,19574.0,437.36319169711265,Central-America,1.0,1.3801169590643274,5.0,0.0,165521.328125,16.74955174180328,0.0057294704776719,3.0,1.0,18.783304167476828,0.0084727232972563,63.0,8.0,0.1430192962542565,44.0,421158.9535986072,9.881957433985765,6.080763952203048,12.016855336342042,378.4528082546749,6.784457062637643
ASM,63.0,23.81,15.86,45.16,50.79,15.54,49.03,Upper middle income,11467.0,223.27625795982456,Oceania,1.0,8.506550218340612,32.0,0.0,50706.7734375,1.53732044160054,0.0608695652173913,3.0,1.0,6.417391304347826,0.2489270386266094,16.0,6.0,0.0967741935483871,13.0,118359.51355942158,9.347228624038305,5.408409829681609,10.833814779028588,227.103293027349,4.143134726391533
FJI,599.0,5.68,3.59,8.32,46.24,9.42,32.88,Upper middle income,6220.0,21115.07903235143,Oceania,1.0,5.612511251125112,60.0,0.0,882990.375,0.13230359159791552,0.0078562528690405,4.0,1.0,19.416460095743982,0.0372403335860501,46.0,8.0,0.1876750700280112,44.0,1371242.972176487,8.735525185733225,9.957742710309248,13.691069579186937,41.81800000119004,6.395261598115449
FSM,7.0,0.0,0.0,0.0,42.86,55.56,66.67,Lower middle income,3568.0,788.6787958757003,Oceania,1.0,5.0528455284552845,20.0,0.0,76889.6328125,0.5079489315257353,0.4666666666666667,2.0,1.0,1.8,-0.1666666666666659,3.0,3.0,0.0,2.0,44707.90668648511,8.1797604936999,6.670359135137887,11.250126332523863,97.49169524346917,1.9459101490553132
MHL,28.0,3.57,100.0,100.0,32.14,100.0,100.0,Upper middle income,3788.0,301.0094476527774,Oceania,1.0,0.019801980198019802,1.0,0.0,21671.896484375,0.5306468593420358,0.1473684210526315,3.0,1.0,4.010526315789473,-0.0370370370370383,11.0,3.0,0.1111111111111111,2.0,49467.38889582166,8.239593454305968,5.707141651807052,9.983771607285039,71.99739627233934,3.332204510175204
NCL,1754.0,4.33,7.42,35.78,27.19,8.57,48.26,High income,12580.0,18819.16535622125,Oceania,1.0,7.317374350086655,40.0,0.0,246732.0,0.1968557567918736,0.0026047699664379,3.0,1.0,39.22370875285871,0.0176033722854491,128.0,10.0,0.1884768617836346,147.0,2273864.44960339,9.439863530254431,9.842631063389796,12.416058006306601,13.11067708528504,7.469654172932128
NRU,4.0,0.0,0.0,0.0,75.0,55.56,66.67,High income,9397.0,22.158760122399134,Oceania,1.0,0.4782608695652174,1.0,0.0,8306.6796875,7.897289075349507,0.6666666666666666,2.0,2.0,1.3333333333333333,,2.0,2.0,0.0,0.0,16861.53506139095,9.148145768383065,3.098232909158485,9.024815251748102,374.87114087684046,1.3862943611198906
PLW,76.0,13.16,23.43,51.43,57.89,15.63,53.33,High income,15859.0,487.1646840670142,Oceania,1.0,1.9942418426103647,8.0,0.0,21250.67578125,0.4352351227915027,0.0511784511784511,3.0,1.0,7.876767676767677,-0.1542056074766372,22.0,4.0,0.3088235294117647,16.0,156601.59604677328,9.6714924414986,6.188602226221159,9.964143975317494,43.62113362537331,4.330733340286331
PYF,680.0,4.71,4.74,17.72,32.5,13.25,30.92,High income,14324.0,4081.466760441425,Oceania,1.0,10.061679040548258,43.0,0.0,268191.21875,0.5523461577123167,0.0069771498342926,3.0,1.0,20.291121576835863,0.0524362547374615,49.0,8.0,0.1332831325301204,67.0,355402.0887967984,9.569691731118324,8.31421170290172,12.499455507869392,65.70951927120294,6.522092798170152
SLB,58.0,6.9,17.31,26.37,51.72,21.14,43.96,Lower middle income,2128.0,28550.29645810748,Oceania,1.0,6.539899374904711,40.0,0.0,523347.5625,0.030675900012734177,0.092063492063492,3.0,1.0,5.220634920634921,0.0795548227535038,15.0,6.0,0.1188118811881188,10.0,158479.12817606202,7.662937850461535,10.259422598851874,13.1680010777772,18.330722529201058,4.060443010546419
TON,203.0,4.43,6.1,15.54,71.43,8.96,41.98,Upper middle income,4364.0,763.8565957558924,Oceania,1.0,2.4405506883604504,23.0,0.0,95285.8984375,0.7086903133594935,0.0249753937007874,3.0,1.0,9.383735236220472,-0.1075821851810143,27.0,8.0,0.1156626506024096,9.0,225304.0884106844,8.381144346952961,6.6383800696581226,11.464637108468017,124.74317688283831,5.313205979041787
VUT,57.0,3.51,23.81,34.29,50.88,24.56,41.9,Lower middle income,3058.0,12336.988875451218,Oceania,1.0,7.185057874430025,33.0,0.0,253601.0625,0.05854038354254615,0.0855855855855855,3.0,1.0,6.25975975975976,-0.1126126126126126,16.0,6.0,0.1791044776119403,4.0,160100.48639306863,8.025516386489008,9.420357254348696,12.443517691205201,20.556155562775015,4.04305126783455
WSM,124.0,5.65,7.09,12.1,55.65,14.87,40.32,Upper middle income,4316.0,2852.323786274188,Oceania,1.0,7.215895610913405,27.0,0.0,189966.21875,0.3880762104984128,0.0373381511592893,3.0,1.0,6.967178560674496,-0.0627217642884432,18.0,8.0,0.2101167315175097,12.0,324838.1610129419,8.370084326378025,7.955889304639349,12.1546015392824,66.6005099645931,4.820281565605037
KIR,12.0,8.33,50.0,50.0,33.33,54.17,66.67,Lower middle income,1655.0,3372.0292836640137,Oceania,1.0,0.01818181818181818,1.0,0.0,72510.953125,0.16656262060839258,0.4285714285714285,2.0,1.0,2.5,-0.1575562700964634,6.0,6.0,0.0,4.0,39849.92655335567,7.411556287811163,8.123270003444658,11.191492907017905,21.503654632029267,2.4849066497880004
GUY,587.0,6.98,15.58,49.47,32.88,14.66,50.21,Upper middle income,5468.0,209881.9701580743,South-America,1.0,1.7904296391323586,60.0,0.0,718749.375,0.021050561391017925,0.0088850543395997,3.0,1.0,17.94923258559622,0.1628065606300185,64.0,8.0,0.1216509775524982,51.0,1042824.2030124762,8.60666819784384,12.254300604825746,13.485268001528102,3.4245408238671864,6.375024819828097
SUR,620.0,4.68,9.73,28.3,45.65,7.5,37.11,Upper middle income,6855.0,146403.79501730727,South-America,1.0,1.3356127679403542,33.0,0.0,600220.3125,0.07635562033543282,0.0081316807659518,3.0,1.0,15.137950029510131,-0.0221748485814465,41.0,8.0,0.1081504702194357,45.0,1658000.0916326651,8.832733591996416,11.894123802422738,13.30505205430145,4.099759247559425,6.429719478039138
AGO,8859.0,0.77,2.2,5.88,24.96,4.71,27.43,Lower middle income,2974.0,1251923.6332830794,Africa,0.0,1.660858739667347,48.0,0.0,30796016.0,0.08982531492396237,0.0005311724286793,4.0,1.0,54.66858144164238,0.1355152562557388,130.0,13.0,0.1453851492019431,419.0,41317289.80458367,7.9976631270201,14.040191833001575,17.242895888927936,24.598957301604468,9.089189170412032
BDI,5074.0,0.32,2.96,7.76,32.4,4.71,27.45,Low income,261.0,26983.902711806455,Africa,0.0,4.690211363564344,30.0,1.0,10672796.0,0.2774513190421777,0.0008959448518927,3.0,1.0,37.68710282618158,0.0458443378298193,108.0,8.0,0.1186793575252825,109.0,13680832.680570692,5.564520407322694,10.202995771332024,16.183208632062165,395.52455084009245,8.531884740159228
BEN,4172.0,1.65,2.23,5.88,37.56,4.03,31.7,Lower middle income,1219.0,115359.1293343792,Africa,0.0,0.8948905749107293,11.0,0.0,12048475.0,0.5231737360195309,0.0011183349568669,3.0,1.0,46.42531361361045,0.0734302108967777,128.0,10.0,0.1190965092402464,325.0,13447494.236810548,7.105786129481271,11.655805405111474,16.30444865387545,104.44318598380168,8.336150816120663
BFA,3153.0,1.14,2.27,5.88,40.12,4.73,24.22,Low income,775.0,273615.4120845791,Africa,0.0,0.5280506066069737,9.0,1.0,21179222.0,0.12519826350982532,0.0014954247969224,3.0,1.0,29.17428504892975,0.0899927845923289,72.0,10.0,0.1183597390493942,130.0,19910442.696962077,6.652863029353347,12.519478793862508,16.86853116469611,77.40507685090907,8.056109659545061
BWA,4553.0,0.75,4.02,13.15,35.91,5.54,28.06,Upper middle income,7961.0,579274.3684933373,Africa,0.0,0.15214117814854536,14.0,0.0,2311020.25,0.0455243078726296,0.0010779211770435,3.0,1.0,35.33456466828651,0.0319097144437596,91.0,8.0,0.1710033076074972,149.0,19880416.099160504,8.982309899088579,13.269531510453055,14.65319965165863,3.989508902337323,8.423541635334782
CAF,1302.0,5.91,3.1,32.32,49.69,5.29,32.32,Low income,468.0,621569.7779342877,Africa,0.0,1.1408879336308628,17.0,1.0,5186950.0,0.023623640350190822,0.0029252116397361,3.0,1.0,27.445589266135844,-0.0008185070822905,72.0,8.0,0.1377091377091377,195.0,17502475.057971094,6.148468295917647,13.34000345705676,15.461656413803754,8.344919885323582,7.171656822768514
CIV,5400.0,0.65,2.0,2.0,31.31,3.74,25.09,Lower middle income,2286.0,322250.94024766097,Africa,0.0,1.0298734683987063,28.0,0.0,25127980.0,0.36070642253627144,0.0008946210906922,3.0,1.0,36.017690966397865,0.0315177015881955,85.0,10.0,0.1405997486083677,165.0,22639346.409746926,7.734558844354756,12.683085838555629,17.03949252427544,77.9764365642759,8.594154232552366
CMR,11123.0,0.59,2.5,7.76,22.4,5.46,47.41,Lower middle income,1498.0,466832.1234016613,Africa,0.0,2.267113988635078,46.0,0.0,26387106.0,0.15047160175005084,0.0004086163796794,3.0,1.0,55.95453252842433,0.0634295460641845,185.0,13.0,0.1356866317467547,401.0,42831486.970061,7.311886164077165,13.053724993225744,17.088386039715065,56.52375806473068,9.316770315592029
COD,7406.0,1.65,6.07,47.09,25.68,7.75,50.48,Low income,545.0,2343190.892749755,Africa,0.0,1.5615478132968394,49.0,0.0,103380784.0,0.08606583612723148,0.0005381140765512,4.0,1.0,104.0881336545742,0.0764872222859312,289.0,10.0,0.1333090909090909,1006.0,70861417.78815249,6.300785794663244,14.667024187815931,18.4539296613753,44.11965935847495,8.910045761473558
COG,1755.0,2.68,4.22,38.87,33.22,9.31,43.23,Lower middle income,2011.0,341752.84399627335,Africa,0.0,1.3992662091303978,18.0,0.0,3783349.0,0.06285794772841702,0.0029515888966439,3.0,1.0,27.766832886250302,-0.0471035485612485,68.0,9.0,0.1424050632911392,92.0,10309172.47918418,7.606387389772652,12.741843076413378,15.146120154184166,11.070424332858677,7.470224135899966
DJI,579.0,4.32,11.41,46.26,28.67,7.51,44.9,Lower middle income,3409.0,21884.985099179587,Africa,0.0,4.099589834016943,38.0,0.0,1049385.0,0.007419059714172971,0.0089600742804085,3.0,1.0,15.712395543175488,-0.0329932289921101,51.0,9.0,0.1402337228714524,43.0,1230344.3081863287,8.134174272137903,9.993556068755657,13.863714836250372,47.94999837762461,6.361302477572996
DZA,70604.0,0.14,2.63,11.39,10.01,2.66,25.07,Lower middle income,3948.0,2316742.429160013,Africa,0.0,1.1817712968966132,42.0,0.0,41793096.0,0.12749097172603144,7.496004014819151e-05,4.0,1.0,89.15900348663668,0.057320569872867,220.0,13.0,0.1596915778590205,2013.0,101571611.76973815,8.280964400553373,14.655672631572664,17.54824171638922,18.03959537062263,11.16484207910017
EGY,81272.0,0.03,2.0,2.0,15.39,2.11,23.33,Lower middle income,3020.0,986809.855587611,Africa,0.0,1.0443792671997982,35.0,0.0,91773312.0,0.4227245173990065,5.8367630791980646e-05,3.0,1.0,88.48812578878838,0.106919195287139,270.0,28.0,0.0755501777206382,1290.0,64235416.029699385,8.013012110368916,13.80223265100904,18.334832094369524,92.99999536927221,11.30555683277138
ERI,1031.0,4.85,5.51,27.85,28.42,14.96,43.76,Low income,643.0,120452.01020922039,Africa,0.0,4.715284831846259,50.0,0.0,4063981.5,0.006601796303761057,0.0047697695613755,3.0,1.0,19.93917271562273,-0.0002249884805897,50.0,8.0,0.1577503429355281,64.0,4805115.780501455,6.466144724237619,11.699006697062911,15.21767371606474,33.73942446407515,6.93828448401696
ETH,12283.0,0.42,2.04,3.96,22.78,3.9,25.54,Low income,858.0,1131885.4987498578,Africa,0.0,4.294678109470218,57.0,1.0,98459240.0,0.043679040248918326,0.0003875650894316,3.0,1.0,52.11587167547295,0.0980582178462882,124.0,12.0,0.114058764556181,508.0,56877993.28589292,6.754604099487962,13.939395383115048,18.40515321339393,86.98692589378169,9.415971471539095
GAB,1648.0,2.97,5.11,26.22,18.51,9.46,35.43,Upper middle income,7667.0,265121.8037104107,Africa,0.0,1.8639366088856142,21.0,0.0,2763349.0,0.030598742726771825,0.0030327399738315,3.0,1.0,32.39763306422673,-0.0083360832768891,93.0,8.0,0.1738721804511278,102.0,5507734.251292208,8.944680683558895,12.487944636010853,14.831953907908598,10.422941309717295,7.4073177104694174
GHA,9829.0,0.22,2.09,3.96,32.26,2.97,18.51,Lower middle income,2202.0,238433.84971315772,Africa,0.0,1.1333695625148734,24.0,0.0,30976994.0,0.8416513253385031,0.0004914586005255,3.0,1.0,48.73995994929911,0.0404517362953549,119.0,10.0,0.1466933867735471,214.0,28006495.052224424,7.697121317282625,12.38184719114596,17.248755357903093,129.9186086089125,9.19309247856663
GIN,2802.0,2.21,2.22,3.96,36.4,5.43,29.84,Low income,1064.0,245145.7681120317,Africa,0.0,2.4769053712833022,36.0,0.0,11667386.0,0.19915465591118137,0.0015321287731815,3.0,1.0,42.91681448446765,0.0666551592057752,105.0,9.0,0.1235911387485425,240.0,20030502.33393973,6.96979066990159,12.40960828448711,16.272307986027712,47.5936667797912,7.938088726896952
GMB,584.0,9.08,17.16,47.26,43.32,5.4,45.66,Low income,751.0,10664.597628932963,Africa,0.0,0.41445519825163907,2.0,0.0,2218524.75,1.1555698998035775,0.0077385842631118,3.0,1.0,21.13228473749768,0.064359975796249,65.0,7.0,0.1568627450980392,56.0,1725420.700473506,6.621405651764134,9.274684902011161,14.612353005925485,208.02704679463585,6.369900982828227
KEN,9162.0,0.38,2.22,7.76,27.21,4.42,30.44,Lower middle income,1817.0,586416.0264853059,Africa,0.0,1.8801278154605978,45.0,0.0,51546248.0,0.04809588516694715,0.0005138701760451,3.0,1.0,41.62337993761542,0.091596242506339,102.0,11.0,0.1350354922137236,229.0,41517755.18448516,7.504942068396171,13.281784759476656,17.75798998207324,87.90047623517947,9.122819774446688
LBR,847.0,6.49,6.24,25.76,45.69,7.8,35.66,Low income,622.0,95870.64430011444,Africa,0.0,1.1816008076657398,27.0,0.0,4289797.5,0.23234026101447716,0.0046665895329553,3.0,1.0,24.65838030225396,0.1303297707134368,63.0,6.0,0.1115853658536585,113.0,6599240.257795972,6.432940092739179,11.470755106608744,15.27175008699291,44.745683429133685,6.741700694652055
LBY,20581.0,0.35,3.42,13.15,13.99,4.47,40.73,Upper middle income,7684.0,1625749.7751877655,Africa,0.0,0.566881907937883,32.0,0.0,6703156.5,0.09004907160574545,0.0002531873701562,4.0,1.0,76.72326335035622,0.0403739879213053,189.0,18.0,0.1586529017613549,262.0,29487988.298631515,8.946895523888447,14.30147966744922,15.718089092822277,4.123116977965333,9.93212359907246
